[Name]
User Points

[Data]
"Time [s]","Monitor Point: CMZ1","Monitor Point: CMZ2","Monitor Point: CR1","Monitor Point: CR2","Monitor Point: CX1","Monitor Point: CX2","Monitor Point: CY1","Monitor Point: CY2"
2.26599998e+01,-2.39243228e-02,5.22120111e-02,9.76517975e-01,1.42640281e+00,1.42228767e-01,-1.10623586e+00,9.66104746e-01,9.00481701e-01
2.26800003e+01,-2.31506266e-02,5.23151085e-02,8.83739769e-01,1.39286304e+00,8.45686495e-02,-1.06413615e+00,8.79684150e-01,8.98711205e-01
2.26999989e+01,-2.21251324e-02,5.21499515e-02,7.98694015e-01,1.35865462e+00,2.96657905e-02,-1.02409863e+00,7.98142910e-01,8.92840683e-01
2.27199993e+01,-2.09165290e-02,5.17272726e-02,7.25278497e-01,1.32477260e+00,-2.00285837e-02,-9.87638295e-01,7.25001931e-01,8.82945538e-01
2.27399998e+01,-1.96222477e-02,5.11311069e-02,6.66314840e-01,1.29219449e+00,-6.22689947e-02,-9.55972970e-01,6.63398862e-01,8.69414866e-01
2.27600002e+01,-1.83802750e-02,5.04858792e-02,6.23129487e-01,1.26177943e+00,-9.51703936e-02,-9.30010855e-01,6.15818918e-01,8.52741003e-01
2.27799988e+01,-1.72723848e-02,4.98322323e-02,5.95427096e-01,1.23401511e+00,-1.17532194e-01,-9.10010993e-01,5.83711922e-01,8.33470643e-01
2.27999992e+01,-1.62996165e-02,4.92193699e-02,5.81799388e-01,1.20926416e+00,-1.28760591e-01,-8.95807922e-01,5.67372203e-01,8.12310219e-01
2.28199997e+01,-1.53933149e-02,4.86568175e-02,5.80723524e-01,1.18760395e+00,-1.29049733e-01,-8.86799872e-01,5.66203117e-01,7.89929688e-01
2.28400002e+01,-1.45905782e-02,4.81159277e-02,5.90933263e-01,1.16888237e+00,-1.19022779e-01,-8.82102072e-01,5.78822672e-01,7.66930282e-01
2.28599987e+01,-1.39771206e-02,4.75330837e-02,6.11539304e-01,1.15273726e+00,-9.98752490e-02,-8.80606651e-01,6.03328466e-01,7.43865132e-01
2.28799992e+01,-1.36652440e-02,4.68531847e-02,6.41529202e-01,1.13881183e+00,-7.29782954e-02,-8.81252408e-01,6.37364805e-01,7.21308887e-01
2.28999996e+01,-1.36584546e-02,4.60245684e-02,6.79564834e-01,1.12673533e+00,-4.01529521e-02,-8.83068860e-01,6.78377569e-01,6.99801326e-01
2.29200001e+01,-1.39235947e-02,4.49922569e-02,7.23783195e-01,1.11614466e+00,-3.39702889e-03,-8.85252595e-01,7.23775208e-01,6.79784358e-01
2.29399986e+01,-1.44932074e-02,4.37166877e-02,7.71817267e-01,1.10678065e+00,3.54803987e-02,-8.87200356e-01,7.71001339e-01,6.61693931e-01
2.29599991e+01,-1.53359370e-02,4.22159694e-02,8.21296513e-01,1.09845746e+00,7.47248232e-02,-8.88502896e-01,8.17890048e-01,6.45888031e-01
2.29799995e+01,-1.64623763e-02,4.05507721e-02,8.70089889e-01,1.09113419e+00,1.12951592e-01,-8.88960838e-01,8.62727284e-01,6.32710278e-01
2.30000000e+01,-1.78707708e-02,3.88242044e-02,9.16266620e-01,1.08481324e+00,1.49266392e-01,-8.88484895e-01,9.04026568e-01,6.22426271e-01
2.30199986e+01,-1.94380134e-02,3.71170864e-02,9.58341300e-01,1.07942915e+00,1.82780847e-01,-8.86955261e-01,9.40749288e-01,6.15205467e-01
2.30399990e+01,-2.11207382e-02,3.54682021e-02,9.95380044e-01,1.07474589e+00,2.13044569e-01,-8.84173989e-01,9.72313464e-01,6.10995173e-01
2.30599995e+01,-2.27902234e-02,3.39401886e-02,1.02691758e+00,1.07037604e+00,2.39558294e-01,-8.79899681e-01,9.98584688e-01,6.09492660e-01
2.30799999e+01,-2.42996402e-02,3.26167271e-02,1.05257928e+00,1.06579936e+00,2.62094676e-01,-8.73813987e-01,1.01942599e+00,6.10227227e-01
2.31000004e+01,-2.55915467e-02,3.15203294e-02,1.07221913e+00,1.06059122e+00,2.80853808e-01,-8.65687013e-01,1.03478253e+00,6.12731397e-01
2.31199989e+01,-2.66239848e-02,3.05605084e-02,1.08599007e+00,1.05416346e+00,2.96128035e-01,-8.55263829e-01,1.04483616e+00,6.16266549e-01
2.31399994e+01,-2.73595359e-02,2.96635516e-02,1.09439278e+00,1.04593277e+00,3.08165431e-01,-8.42346370e-01,1.05010939e+00,6.20022476e-01
2.31599998e+01,-2.77880188e-02,2.87711509e-02,1.09809041e+00,1.03544343e+00,3.17200989e-01,-8.26832652e-01,1.05127835e+00,6.23290420e-01
2.31800003e+01,-2.78050695e-02,2.78066546e-02,1.09746754e+00,1.02230561e+00,3.23225349e-01,-8.08843076e-01,1.04878998e+00,6.25205278e-01
