[Name]
User Points

[Data]
"Time [s]","Monitor Point: cm","Monitor Point: cx","Monitor Point: cy"
4.96000023e+01,-4.15886827e-02,1.88694060e+00,-3.51096332e-01
4.97999992e+01,-4.76342440e-02,1.88709891e+00,-2.37010747e-01
5.00000000e+01,-5.35824113e-02,1.88766623e+00,-1.19495548e-01
5.02000008e+01,-5.93890287e-02,1.88833213e+00,9.26387263e-04
5.04000015e+01,-6.49781600e-02,1.88916266e+00,1.23493411e-01
5.06000023e+01,-7.03115836e-02,1.89043224e+00,2.47353643e-01
5.07999992e+01,-7.55268410e-02,1.89238000e+00,3.71308178e-01
5.10000000e+01,-8.05880427e-02,1.89510977e+00,4.94270861e-01
5.12000008e+01,-8.53952020e-02,1.89845347e+00,6.15450740e-01
5.14000015e+01,-8.98614004e-02,1.90244162e+00,7.33975708e-01
5.16000023e+01,-9.39119905e-02,1.90731645e+00,8.48937094e-01
5.17999992e+01,-9.75028425e-02,1.91333902e+00,9.59387839e-01
5.20000000e+01,-1.00412548e-01,1.92046666e+00,1.06462753e+00
5.22000008e+01,-1.02520414e-01,1.92838323e+00,1.16383219e+00
5.24000015e+01,-1.03820667e-01,1.93660450e+00,1.25594079e+00
5.26000023e+01,-1.04275979e-01,1.94484293e+00,1.33989549e+00
5.27999992e+01,-1.03861310e-01,1.95299327e+00,1.41510069e+00
5.30000000e+01,-1.02570467e-01,1.96066761e+00,1.48112202e+00
5.32000008e+01,-1.00394860e-01,1.96742046e+00,1.53755283e+00
5.34000015e+01,-9.73106548e-02,1.97276127e+00,1.58408844e+00
5.36000023e+01,-9.33337212e-02,1.97657287e+00,1.62044597e+00
5.37999992e+01,-8.84891078e-02,1.97865653e+00,1.64654338e+00
5.40000000e+01,-8.28236789e-02,1.97874415e+00,1.66252959e+00
5.42000008e+01,-7.63783827e-02,1.97684371e+00,1.66852641e+00
5.44000015e+01,-6.91164881e-02,1.97299552e+00,1.66484523e+00
5.46000023e+01,-6.10554107e-02,1.96739960e+00,1.65207696e+00
5.47999992e+01,-5.23992889e-02,1.95988941e+00,1.63036704e+00
5.50000000e+01,-4.33436558e-02,1.95057058e+00,1.59976578e+00
5.52000008e+01,-3.40909027e-02,1.94012868e+00,1.56028199e+00
5.54000015e+01,-2.47796457e-02,1.92910695e+00,1.51200497e+00
5.56000023e+01,-1.55202094e-02,1.91760385e+00,1.45528924e+00
5.57999992e+01,-6.42139697e-03,1.90602851e+00,1.39030385e+00
5.60000000e+01,2.47068983e-03,1.89473891e+00,1.31722677e+00
5.62000008e+01,1.11411614e-02,1.88426316e+00,1.23600936e+00
5.64000015e+01,1.95783600e-02,1.87542784e+00,1.14688802e+00
5.66000023e+01,3.11065912e-02,1.86706710e+00,1.00493693e+00
5.67999992e+01,3.83730717e-02,1.86332762e+00,9.01534379e-01
5.70000000e+01,4.63698991e-02,1.86368048e+00,7.98242211e-01
5.72000008e+01,5.18693924e-02,1.86363125e+00,7.28955448e-01
5.74000015e+01,6.46215975e-02,1.86964726e+00,5.53903162e-01
5.76000023e+01,7.21089840e-02,1.87532246e+00,4.17166382e-01
5.77999992e+01,7.96295106e-02,1.88518929e+00,2.90594995e-01
5.80000000e+01,8.78703073e-02,1.89716542e+00,1.59904242e-01
5.82000008e+01,9.61339846e-02,1.90945268e+00,2.21220180e-02
5.84000015e+01,1.03779294e-01,1.92261577e+00,-1.19788297e-01
5.86000023e+01,1.10497303e-01,1.93653083e+00,-2.62783587e-01
5.87999992e+01,1.16200343e-01,1.94997168e+00,-4.05432254e-01
5.90000000e+01,1.21043921e-01,1.96261740e+00,-5.46757579e-01
5.92000008e+01,1.24261253e-01,1.97069478e+00,-6.33105516e-01
5.94000015e+01,1.27847165e-01,1.98300004e+00,-7.67646313e-01
5.96000023e+01,1.30566940e-01,1.99518943e+00,-9.09372032e-01
5.97999992e+01,1.31879881e-01,2.00494432e+00,-1.04302263e+00
6.00000000e+01,1.31846115e-01,2.01221251e+00,-1.16401386e+00
6.02000008e+01,1.30797938e-01,2.01833963e+00,-1.27422214e+00
6.04000015e+01,1.28832906e-01,2.02362943e+00,-1.37624645e+00
6.06000023e+01,1.26025498e-01,2.02738285e+00,-1.47032225e+00
6.07999992e+01,1.22383587e-01,2.02912021e+00,-1.55514145e+00
6.10000000e+01,1.17998250e-01,2.02882695e+00,-1.62912500e+00
6.12000008e+01,1.12983190e-01,2.02668953e+00,-1.69144726e+00
6.14000015e+01,1.07412539e-01,2.02244234e+00,-1.74187529e+00
6.16000023e+01,1.01291202e-01,2.01612926e+00,-1.78087580e+00
6.17999992e+01,9.46353599e-02,2.00787687e+00,-1.80886173e+00
6.20000000e+01,8.74326378e-02,1.99773550e+00,-1.82633936e+00
6.22000008e+01,7.95992240e-02,1.98579955e+00,-1.83380926e+00
6.24000015e+01,7.10832775e-02,1.97222996e+00,-1.83172250e+00
6.26000023e+01,6.20586313e-02,1.95687163e+00,-1.82022643e+00
6.27999992e+01,5.26760258e-02,1.93983972e+00,-1.79946697e+00
6.30000000e+01,4.30475622e-02,1.92123437e+00,-1.76961958e+00
6.32000008e+01,3.32735106e-02,1.90132141e+00,-1.73087215e+00
6.34000015e+01,2.34195385e-02,1.88099039e+00,-1.68340826e+00
6.36000023e+01,1.35985473e-02,1.86085868e+00,-1.62737238e+00
6.37999992e+01,3.91020393e-03,1.84140193e+00,-1.56283092e+00
6.40000000e+01,-5.62932249e-03,1.82337153e+00,-1.48985410e+00
6.42000046e+01,-1.49728246e-02,1.80732095e+00,-1.40873313e+00
6.44000015e+01,-2.41821613e-02,1.79371607e+00,-1.31985211e+00
6.45999985e+01,-3.33661810e-02,1.78369927e+00,-1.22358024e+00
6.48000031e+01,-4.26770039e-02,1.77810013e+00,-1.12022281e+00
6.50000000e+01,-5.21875918e-02,1.77699900e+00,-1.01055586e+00
6.52000046e+01,-6.60018325e-02,1.78661239e+00,-8.42665732e-01
6.54000015e+01,-7.53841102e-02,1.79472661e+00,-7.25212753e-01
6.55999985e+01,-8.58367011e-02,1.80928206e+00,-6.09859169e-01
6.58000031e+01,-9.71608311e-02,1.82712579e+00,-4.82949167e-01
6.60000000e+01,-1.08241037e-01,1.84626067e+00,-3.47260386e-01
6.62000046e+01,-1.18376508e-01,1.86732757e+00,-2.07447484e-01
6.64000015e+01,-1.27757415e-01,1.89021206e+00,-6.64033443e-02
6.65999985e+01,-1.36569813e-01,1.91346848e+00,7.48778805e-02
6.68000031e+01,-1.44254327e-01,1.93617463e+00,2.17232257e-01
6.70000000e+01,-1.50112227e-01,1.95843470e+00,3.60994339e-01
6.72000046e+01,-1.54074311e-01,1.97927892e+00,5.05198717e-01
6.74000015e+01,-1.56534210e-01,1.99796319e+00,6.48102820e-01
6.75999985e+01,-1.57486945e-01,2.01373649e+00,7.88101554e-01
6.78000031e+01,-1.57989278e-01,2.02264285e+00,8.73663604e-01
6.80000000e+01,-1.56611413e-01,2.03529930e+00,1.00465465e+00
6.82000046e+01,-1.53808624e-01,2.04727578e+00,1.13915074e+00
6.84000015e+01,-1.49809152e-01,2.05571103e+00,1.26276410e+00
6.85999985e+01,-1.44584462e-01,2.06007195e+00,1.37345803e+00
6.88000031e+01,-1.38461217e-01,2.06155968e+00,1.47329295e+00
6.90000000e+01,-1.31757662e-01,2.06076312e+00,1.56374073e+00
6.92000046e+01,-1.24655053e-01,2.05800486e+00,1.64439535e+00
6.94000015e+01,-1.17258638e-01,2.05315948e+00,1.71422374e+00
6.95999985e+01,-1.09680727e-01,2.04602456e+00,1.77252650e+00
6.98000031e+01,-1.02032989e-01,2.03666353e+00,1.81885779e+00
7.00000000e+01,-9.42106619e-02,2.02514911e+00,1.85334599e+00
7.02000046e+01,-8.61210153e-02,2.01195955e+00,1.87645245e+00
7.04000015e+01,-7.76077062e-02,1.99775565e+00,1.88883555e+00
7.05999985e+01,-6.87235072e-02,1.98245621e+00,1.89100623e+00
7.08000031e+01,-5.96460775e-02,1.96611404e+00,1.88329864e+00
7.10000000e+01,-5.03567271e-02,1.94897389e+00,1.86605394e+00
7.12000046e+01,-4.08791862e-02,1.93105912e+00,1.83945048e+00
7.14000015e+01,-3.13552916e-02,1.91241837e+00,1.80351007e+00
7.15999985e+01,-2.18406692e-02,1.89359879e+00,1.75841761e+00
7.18000031e+01,-1.23848272e-02,1.87518287e+00,1.70443141e+00
7.20000000e+01,-3.09508760e-03,1.85733652e+00,1.64168966e+00
7.22000046e+01,5.97179728e-03,1.84073150e+00,1.57059443e+00
7.24000015e+01,1.48164416e-02,1.82619929e+00,1.49116385e+00
7.25999985e+01,2.34751273e-02,1.81399357e+00,1.40353870e+00
7.28000031e+01,3.20450142e-02,1.80462193e+00,1.30789661e+00
7.30000000e+01,4.06047329e-02,1.79879653e+00,1.20465064e+00
7.32000046e+01,5.26151471e-02,1.79885542e+00,1.04259264e+00
7.34000015e+01,6.06046356e-02,1.80165553e+00,9.27626491e-01
7.35999985e+01,7.06506222e-02,1.81084919e+00,7.92563140e-01
7.38000031e+01,8.02051872e-02,1.81956387e+00,6.89822674e-01
7.40000000e+01,9.09015760e-02,1.83301294e+00,5.55572212e-01
7.42000046e+01,1.01318657e-01,1.84932852e+00,4.10182327e-01
7.44000015e+01,1.11162551e-01,1.86922967e+00,2.65111834e-01
7.45999985e+01,1.20812520e-01,1.89203322e+00,1.21190183e-01
7.48000031e+01,1.30358845e-01,1.91650152e+00,-2.33452022e-02
7.50000000e+01,1.39228508e-01,1.94167221e+00,-1.69529855e-01
7.52000046e+01,1.46635503e-01,1.96715522e+00,-3.17598045e-01
7.54000015e+01,1.52147368e-01,1.99256730e+00,-4.66640621e-01
7.55999985e+01,1.55927226e-01,2.01721668e+00,-6.15104079e-01
7.58000031e+01,1.58026978e-01,2.04018712e+00,-7.61853099e-01
7.60000000e+01,1.58505276e-01,2.06019211e+00,-9.05079246e-01
7.62000046e+01,1.58803508e-01,2.07400751e+00,-9.92184162e-01
